1,2,3,4,5,6,7,8,9,10
9216,9216,9216,9216,9216,9216,9216,9216,9216,9216
7852.94,21272.81,100.92,104.77,100.92,1899.06,110.93,107.13,102.47,110.59
3194,2736,2606,2630,2564,2669,2795,2700,2641,2763
